word1,word2,count
scheme,structural,1
effective,vehicles,2
effective,structural,2
structural,vehicles,2
ars,bandwidth,1
bandwidth,mems,1
bandwidth,virtue,1
ata,bandwidth,1
ars,mems,1
ars,virtue,1
ars,ata,1
mems,virtue,1
ata,mems,2
ata,virtue,1
motor,rocket,3
motor,trl,1
motor,thiokol,1
cradle,motor,1
rocket,trl,1
rocket,thiokol,1
cradle,rocket,1
thiokol,trl,1
cradle,trl,1
cradle,thiokol,1
actuation,hydraulic,1
bandwidth,hydraulic,1
hydraulic,mass,1
active,hydraulic,1
actuation,bandwidth,1
actuation,mass,1
active,actuation,1
bandwidth,mass,1
active,bandwidth,2
active,mass,1
ada,fires,3
fires,orientation,1
expertise,fires,1
fires,water,1
ada,orientation,1
ada,expertise,1
ada,water,2
expertise,orientation,1
orientation,water,1
expertise,water,1
cryogenic,x9,2
cryogenic,materials,3
cryogenic,systems,4
cryogenic,propellant,5
materials,x9,2
systems,x9,1
propellant,x9,2
materials,systems,1
materials,propellant,2
propellant,systems,2
adsorbents,carbon,2
adsorbents,smart,2
adsorbents,agave,1
adsorbents,biosystems,1
carbon,smart,2
agave,carbon,1
biosystems,carbon,1
agave,smart,1
biosystems,smart,1
agave,biosystems,1
guarantees,level,2
application,level,1
autonomous,level,1
level,reasoning,2
application,guarantees,1
autonomous,guarantees,1
guarantees,reasoning,2
application,autonomous,1
application,reasoning,1
autonomous,reasoning,1
lisa,optical,1
lisa,modulator,2
fiber,lisa,2
linear,lisa,1
modulator,optical,2
fiber,optical,14
linear,optical,1
fiber,modulator,2
linear,modulator,1
fiber,linear,1
lithium,stoichiometric,1
stoichiometric,waveguides,1
stoichiometric,wafers,1
cut,stoichiometric,1
lithium,waveguides,1
lithium,wafers,1
cut,lithium,1
wafers,waveguides,1
cut,waveguides,1
cut,wafers,1
modulator,plc,1
lidar,plc,2
phase,plc,1
plc,waveguide,3
lidar,modulator,1
modulator,phase,1
modulator,waveguide,2
lidar,phase,1
lidar,waveguide,2
phase,waveguide,1
aeroastro,radio,2
aeroastro,eva,1
aeroastro,agility,1
aeroastro,sdr,1
eva,radio,7
agility,radio,2
radio,sdr,9
agility,eva,1
eva,sdr,5
agility,sdr,1
fpga,gates,1
fpga,redundancy,1
bad,fpga,1
fpga,slave,1
gates,redundancy,1
bad,gates,1
gates,slave,1
bad,redundancy,1
redundancy,slave,1
bad,slave,1
cnts,electrostatic,1
electrostatic,filtration,1
electrostatic,novel,1
electrostatic,filters,1
cnts,filtration,1
cnts,novel,1
cnts,filters,1
filtration,novel,1
filters,filtration,2
filters,novel,1
ar,coating,1
ar,scratch,1
agiltron,ar,2
ar,mist,2
coating,scratch,1
agiltron,coating,3
coating,mist,1
agiltron,scratch,1
mist,scratch,1
agiltron,mist,2
aerobrake,aerobraking,2
aerobrake,andrews,2
aerobrake,mars,1
aerobrake,large,1
aerobraking,andrews,1
aerobraking,mars,1
aerobraking,large,1
andrews,mars,1
andrews,large,1
large,mars,1
tps,transpiration,2
aerobrake,transpiration,2
andrews,transpiration,1
flexible,transpiration,2
aerobrake,tps,2
andrews,tps,1
flexible,tps,3
aerobrake,flexible,2
andrews,flexible,1
power,topologies,3
power,switching,3
ports,power,2
power,regulation,3
switching,topologies,1
ports,topologies,1
regulation,topologies,1
ports,switching,1
regulation,switching,1
ports,regulation,1
tcms,temperatures,2
stable,tcms,2
elevated,tcms,1
efforts,tcms,2
stable,temperatures,2
elevated,temperatures,1
efforts,temperatures,1
elevated,stable,1
efforts,stable,1
efforts,elevated,1
aerogels,systems,1
aerogels,propellant,2
aerogels,m3,1
aerogels,cryogenic,5
m3,systems,1
m3,propellant,1
cryogenic,m3,1
conductivities,venus,1
aerogels,venus,1
spacecraft,venus,1
aerogel,venus,1
aerogels,conductivities,1
conductivities,spacecraft,1
aerogel,conductivities,1
aerogels,spacecraft,1
aerogel,aerogels,10
aerogel,spacecraft,1
insulation,sprayable,2
aerogel,sprayable,1
sprayable,thermal,1
better,sprayable,2
aerogel,insulation,15
insulation,thermal,10
better,insulation,2
aerogel,thermal,5
aerogel,better,1
better,thermal,1
aerogel,composites,1
aerogel,extravehicular,1
aerogels,insulation,9
composites,insulation,1
extravehicular,insulation,1
aerogels,composites,1
aerogels,extravehicular,1
composites,extravehicular,1
cev,replaced,1
cev,fiber,1
cev,pre,1
cev,coating,1
fiber,replaced,1
pre,replaced,1
coating,replaced,1
fiber,pre,1
coating,fiber,4
coating,pre,1
culture,radiation,2
radiation,tissue,1
radiation,term,1
exposure,radiation,2
culture,tissue,2
culture,term,1
culture,exposure,2
term,tissue,1
exposure,tissue,1
exposure,term,1
4d,algorithms,1
4d,ttm,1
4d,airspace,1
4d,horizon,1
algorithms,ttm,1
airspace,algorithms,2
algorithms,horizon,1
airspace,ttm,1
horizon,ttm,1
airspace,horizon,1
nsrl,radiation,1
nsrl,samples,3
nsrl,sample,3
automated,nsrl,1
radiation,samples,2
radiation,sample,1
automated,radiation,1
sample,samples,8
automated,samples,1
automated,sample,2
formation,spheres,3
formation,iss,1
formation,space,1
formation,robotic,1
iss,spheres,3
space,spheres,1
robotic,spheres,1
iss,space,1
iss,robotic,1
robotic,space,4
asset,rfid,1
asset,container,1
asset,rule,2
asset,level,1
container,rfid,1
rfid,rule,1
level,rfid,1
container,rule,1
container,level,1
level,rule,2
assembly,modular,3
assembly,dock,1
assembly,floor,1
assembly,swarm,1
dock,modular,2
floor,modular,1
modular,swarm,2
dock,floor,1
dock,swarm,2
floor,swarm,1
software,systems,4
assessment,software,1
architectures,software,1
evaluations,software,1
assessment,systems,1
architectures,systems,3
evaluations,systems,1
architectures,assessment,1
assessment,evaluations,1
architectures,evaluations,1
google,suite,1
data,google,3
google,rule,1
google,sources,1
data,suite,1
rule,suite,1
sources,suite,1
data,rule,1
data,sources,3
rule,sources,1
algorithmic,von,1
neumann,von,1
portability,von,1
fpga,von,1
algorithmic,neumann,1
algorithmic,portability,1
algorithmic,fpga,1
neumann,portability,1
fpga,neumann,1
fpga,portability,1
kit,repair,2
repair,variety,1
curing,repair,2
cure,repair,2
kit,variety,1
curing,kit,1
cure,kit,1
curing,variety,1
cure,variety,1
cure,curing,1
camera,frame,1
asc,frame,1
128,frame,1
frame,ladar,1
asc,camera,4
128,camera,1
camera,ladar,4
128,asc,1
asc,ladar,8
128,ladar,1
stirling,vchp,2
heat,vchp,5
ncg,vchp,2
gphs,vchp,3
heat,stirling,7
ncg,stirling,1
gphs,stirling,2
heat,ncg,2
gphs,heat,4
gphs,ncg,1
compressor,vapor,1
compressor,evaporator,1
compressor,loop,2
compressor,hybrid,1
evaporator,vapor,1
loop,vapor,1
hybrid,vapor,1
evaporator,loop,1
evaporator,hybrid,1
hybrid,loop,2
control,reservoir,1
control,temperature,2
control,milli,1
control,precise,2
reservoir,temperature,1
milli,reservoir,1
precise,reservoir,1
milli,temperature,1
precise,temperature,1
milli,precise,1
boundary,structure,2
structure,vehicles,2
interaction,structure,4
propulsive,structure,2
boundary,vehicles,4
boundary,interaction,2
boundary,propulsive,2
interaction,vehicles,2
propulsive,vehicles,2
interaction,propulsive,2
compressors,helium,1
helium,regenerative,1
helium,straight,1
helium,propellant,1
compressors,regenerative,1
compressors,straight,1
compressors,propellant,1
regenerative,straight,1
propellant,regenerative,1
propellant,straight,1
arm,target,1
arm,grapple,1
arm,bearing,1
arm,floor,1
grapple,target,1
bearing,target,1
floor,target,1
bearing,grapple,1
floor,grapple,1
bearing,floor,1
inverter,sic,1
high,inverter,1
inverter,power,1
inverter,technical,1
high,sic,3
power,sic,18
sic,technical,1
high,power,11
high,technical,1
power,technical,1
assets,communicate,1
communicate,security,1
communicate,communications,2
aeronix,communicate,1
assets,security,1
assets,communications,2
aeronix,assets,1
communications,security,1
aeronix,security,1
aeronix,communications,1
condition,maintenance,2
events,maintenance,2
maintenance,subjective,2
aircraft,maintenance,3
condition,events,2
condition,subjective,2
aircraft,condition,2
events,subjective,2
aircraft,events,2
aircraft,subjective,2
cc,did,1
aircraft,cc,1
cc,circulation,1
cc,control,1
aircraft,did,1
circulation,did,1
control,did,1
aircraft,circulation,1
aircraft,control,10
circulation,control,1
protective,tether,1
coatings,tether,1
ao,tether,2
material,tether,1
coatings,protective,2
ao,protective,1
material,protective,2
ao,coatings,1
coatings,material,1
ao,material,1
alliance,rock,1
percussive,rock,1
coring,rock,1
cores,rock,2
alliance,percussive,2
alliance,coring,2
alliance,cores,1
coring,percussive,3
cores,percussive,1
cores,coring,1
exciter,igniter,3
exciter,spark,2
exciter,sparks,1
exciter,unit,2
igniter,spark,4
igniter,sparks,1
igniter,unit,2
spark,sparks,1
spark,unit,2
sparks,unit,1
co2,uas,2
sensor,uas,4
measurements,uas,2
precise,uas,1
co2,sensor,8
co2,measurements,3
co2,precise,1
measurements,sensor,6
precise,sensor,1
measurements,precise,1
ray,sources,2
ray,xps,2
medical,ray,1
feedback,ray,1
sources,xps,1
medical,sources,1
feedback,sources,1
medical,xps,1
feedback,xps,1
feedback,medical,1
bounds,uncertainty,2
tools,uncertainty,2
analytic,uncertainty,1
risk,uncertainty,2
bounds,tools,1
analytic,bounds,1
bounds,risk,2
analytic,tools,1
risk,tools,3
analytic,risk,1
gpu,vortex,1
boundary,gpu,1
gpu,roughly,1
cpu,gpu,2
boundary,vortex,1
roughly,vortex,1
cpu,vortex,1
boundary,roughly,1
boundary,cpu,1
cpu,roughly,1
asynchronous,motor,1
asynchronous,dc,1
asynchronous,microcontroller,2
230,asynchronous,1
dc,motor,2
microcontroller,motor,1
230,motor,1
dc,microcontroller,1
230,dc,1
230,microcontroller,1
analyzers,artifacts,1
analyzers,ppb,1
analyzers,rms,1
analyzers,covariance,1
artifacts,ppb,1
artifacts,rms,1
artifacts,covariance,1
ppb,rms,1
covariance,ppb,1
covariance,rms,1
fem,packages,1
mechanical,packages,1
complex,packages,1
packages,respect,1
fem,mechanical,1
complex,fem,1
fem,respect,1
complex,mechanical,1
mechanical,respect,1
complex,respect,1
damage,effector,1
damage,structural,2
accounts,damage,1
computed,damage,1
effector,structural,1
accounts,effector,1
computed,effector,1
accounts,structural,1
computed,structural,1
accounts,computed,1
diagnostic,model,1
model,models,7
barron,model,1
changes,model,1
diagnostic,models,3
barron,diagnostic,1
changes,diagnostic,1
barron,models,1
changes,models,1
barron,changes,1
bone,noninvasive,1
bone,loss,4
bone,ensuing,1
bone,musculoskeletal,1
loss,noninvasive,1
ensuing,noninvasive,1
musculoskeletal,noninvasive,1
ensuing,loss,1
loss,musculoskeletal,1
ensuing,musculoskeletal,1
bolometer,cooled,1
amorphous,cooled,1
cooled,fpas,1
cooled,passively,1
amorphous,bolometer,1
bolometer,fpas,1
bolometer,passively,1
amorphous,fpas,1
amorphous,passively,1
fpas,passively,1
hardware,software,4
processors,software,3
fpga,software,2
compiler,software,2
hardware,processors,2
fpga,hardware,1
compiler,hardware,3
fpga,processors,2
compiler,processors,2
compiler,fpga,1
microwave,receiver,3
receiver,ultrasound,1
interferometer,receiver,2
harsh,receiver,1
microwave,ultrasound,1
interferometer,microwave,1
harsh,microwave,1
interferometer,ultrasound,1
harsh,ultrasound,1
harsh,interferometer,1
bandwidth,optically,2
bandwidth,source,2
bandwidth,light,2
bandwidth,narrow,1
optically,source,2
light,optically,2
narrow,optically,1
light,source,3
narrow,source,1
light,narrow,1
flow,vost,2
control,vost,2
cryogenic,vost,7
venturi,vost,1
control,flow,10
cryogenic,flow,7
flow,venturi,4
control,cryogenic,2
control,venturi,1
cryogenic,venturi,1
additive,mc,2
layer,mc,1
destructive,mc,2
machining,mc,1
additive,layer,1
additive,destructive,2
additive,machining,1
destructive,layer,1
layer,machining,1
destructive,machining,1
micromirror,segment,1
coronagraphic,segment,1
mirror,segment,2
segment,segments,2
coronagraphic,micromirror,1
micromirror,mirror,1
micromirror,segments,1
coronagraphic,mirror,2
coronagraphic,segments,1
mirror,segments,3
blade,rotor,7
measuring,rotor,2
instrumentation,rotor,2
rotor,unit,1
blade,measuring,2
blade,instrumentation,2
blade,unit,1
instrumentation,measuring,2
measuring,unit,1
instrumentation,unit,1
fluids,lhps,1
fluids,heat,6
fluids,intermediate,1
fluids,range,1
heat,lhps,3
intermediate,lhps,2
lhps,range,1
heat,intermediate,1
heat,range,1
intermediate,range,2
module,radiation,2
loci,module,1
chem,module,2
cfdrc,module,1
loci,radiation,2
chem,radiation,1
cfdrc,radiation,1
chem,loci,2
cfdrc,loci,1
cfdrc,chem,1
cells,damaged,1
damaged,radiation,1
damaged,tagged,1
damaged,sorting,1
cells,radiation,6
cells,tagged,1
cells,sorting,2
radiation,tagged,1
radiation,sorting,1
sorting,tagged,1
physics,radiation,2
radiation,responses,2
electronics,radiation,5
extreme,radiation,5
physics,responses,2
electronics,physics,2
extreme,physics,2
electronics,responses,2
extreme,responses,2
electronics,extreme,7
photovoltaic,qd,2
nano,qd,2
qd,quantum,1
dots,qd,2
nano,photovoltaic,2
photovoltaic,quantum,1
dots,photovoltaic,2
nano,quantum,1
dots,nano,2
dots,quantum,7
debris,erosion,2
debris,plume,3
debris,soil,1
debris,flow,1
erosion,plume,2
erosion,soil,1
erosion,flow,1
plume,soil,1
flow,plume,3
flow,soil,1
chemistry,ufs,2
plasma,ufs,1
flows,ufs,3
boltzmann,ufs,2
chemistry,plasma,1
chemistry,flows,2
boltzmann,chemistry,2
flows,plasma,2
boltzmann,plasma,1
boltzmann,flows,2
dc,standardized,2
hard,standardized,1
efficiency,standardized,1
electric,standardized,2
dc,hard,1
dc,efficiency,1
dc,electric,2
efficiency,hard,1
electric,hard,1
efficiency,electric,1
power,supply,4
ambitious,supply,1
supply,throttle,1
ranges,supply,1
ambitious,power,1
power,throttle,1
power,ranges,1
ambitious,throttle,1
ambitious,ranges,1
ranges,throttle,1
numerical,unsteady,2
unsteady,valves,2
transient,unsteady,2
unsteady,valve,2
numerical,valves,2
numerical,transient,2
numerical,valve,2
transient,valves,2
valve,valves,9
transient,valve,2
combustion,injector,5
chamber,injector,4
dimensional,injector,1
injector,localized,1
chamber,combustion,12
combustion,dimensional,1
combustion,localized,1
chamber,dimensional,1
chamber,localized,1
dimensional,localized,1
diffuser,ejector,1
diffuser,facility,1
diffuser,steam,1
diffuser,engine,1
ejector,facility,1
ejector,steam,1
ejector,engine,1
facility,steam,2
engine,facility,1
engine,steam,1
continuum,rarefied,5
continuum,dsmc,1
continuum,rcs,1
ablating,continuum,1
dsmc,rarefied,1
rarefied,rcs,1
ablating,rarefied,1
dsmc,rcs,1
ablating,dsmc,1
ablating,rcs,1
flow,quality,3
quality,turbulence,2
aerodynamic,quality,1
quality,wind,2
flow,turbulence,5
aerodynamic,flow,5
flow,wind,4
aerodynamic,turbulence,1
turbulence,wind,4
aerodynamic,wind,2
ctd,locking,1
actuator,ctd,1
ctd,hinge,1
ctd,self,1
actuator,locking,1
hinge,locking,1
locking,self,1
actuator,hinge,1
actuator,self,2
hinge,self,1
aircraft,upset,2
control,upset,1
recovery,upset,5
detection,upset,2
aircraft,recovery,3
aircraft,detection,1
control,recovery,1
control,detection,1
detection,recovery,2
rotorcraft,rotors,1
pillar,rotorcraft,1
rotor,rotorcraft,7
model,rotorcraft,1
pillar,rotors,1
rotor,rotors,3
model,rotors,1
pillar,rotor,1
model,pillar,1
model,rotor,1
sup,tower,1
crg,sup,4
sup,veritex,6
sup,tm,22
crg,tower,1
tower,veritex,1
tm,tower,1
crg,veritex,5
crg,tm,5
tm,veritex,5
logic,magnetoresistive,1
magnetoresistive,tunneling,1
circuits,magnetoresistive,1
magnetic,magnetoresistive,1
logic,tunneling,1
circuits,logic,2
logic,magnetic,1
circuits,tunneling,1
magnetic,tunneling,1
circuits,magnetic,1
cyanate,ester,2
crg,ester,2
ester,qualifiable,1
ester,smp,1
crg,cyanate,2
cyanate,qualifiable,1
cyanate,smp,1
crg,qualifiable,1
crg,smp,1
qualifiable,smp,1
aeroshell,mechanisms,2
aeroshell,deploy,2
aeroshell,tps,4
aeroshell,panels,2
deploy,mechanisms,2
mechanisms,tps,2
mechanisms,panels,2
deploy,tps,2
deploy,panels,2
panels,tps,3
heat,hrs,2
hrs,titanium,1
consideration,hrs,2
carbon,hrs,1
heat,titanium,4
consideration,heat,2
carbon,heat,2
consideration,titanium,1
carbon,titanium,1
carbon,consideration,1
biocidal,condensing,3
condensing,hydrophilic,3
condenser,condensing,2
bases,condensing,1
biocidal,hydrophilic,4
biocidal,condenser,1
bases,biocidal,1
condenser,hydrophilic,1
bases,hydrophilic,1
bases,condenser,1
cnt,thermal,1
thermal,tim,4
thermal,tims,1
mm2,thermal,1
cnt,tim,1
cnt,tims,1
cnt,mm2,1
tim,tims,1
mm2,tim,1
mm2,tims,1
heat,pump,7
pump,suits,2
eva,pump,2
pump,rugged,3
heat,suits,2
eva,heat,4
heat,rugged,2
eva,suits,3
rugged,suits,2
eva,rugged,2
cooler,magnetic,2
circulator,cooler,2
cooler,cooling,3
cooler,coolers,2
circulator,magnetic,3
cooling,magnetic,2
coolers,magnetic,1
circulator,cooling,5
circulator,coolers,1
coolers,cooling,2
mass,vessel,1
md,vessel,1
titanium,vessel,1
probe,vessel,1
mass,md,1
mass,titanium,1
mass,probe,1
md,titanium,1
md,probe,1
probe,titanium,1
carbide,fuel,3
carbide,nuclear,3
carbide,uranium,3
carbide,niobium,2
fuel,nuclear,7
fuel,uranium,4
fuel,niobium,1
nuclear,uranium,3
niobium,nuclear,2
niobium,uranium,2
sizing,sup,2
commercial,sizing,1
prediction,sizing,1
integrating,sizing,1
commercial,sup,1
prediction,sup,1
integrating,sup,1
commercial,prediction,1
commercial,integrating,1
integrating,prediction,1
noise,sources,6
holography,noise,3
acoustical,noise,3
noise,turbofan,3
holography,sources,2
acoustical,sources,2
sources,turbofan,1
acoustical,holography,3
holography,turbofan,1
acoustical,turbofan,1
electrospray,particles,2
electrospray,stagnation,2
electrospray,percent,2
electrospray,molecules,2
particles,stagnation,2
particles,percent,2
molecules,particles,2
percent,stagnation,2
molecules,stagnation,2
molecules,percent,2
adaptive,lyapunov,1
errors,lyapunov,1
derivation,lyapunov,1
analytical,lyapunov,1
adaptive,errors,1
adaptive,derivation,1
adaptive,analytical,1
derivation,errors,1
analytical,errors,1
analytical,derivation,1
msfc,soot,1
msfc,rocket,1
engine,msfc,1
msfc,plume,1
rocket,soot,1
engine,soot,2
plume,soot,2
engine,rocket,8
plume,rocket,2
engine,plume,2
heating,sup,1
intrinsic,sup,1
circuit,sup,1
circuits,sup,1
heating,intrinsic,1
circuit,heating,1
circuits,heating,1
circuit,intrinsic,1
circuits,intrinsic,1
circuit,circuits,3
best,software,1
different,software,1
members,software,1
data,software,4
best,different,1
best,members,1
best,data,1
different,members,1
data,different,2
data,members,2
image,images,10
ccsds,image,2
formats,image,2
cybernet,image,2
ccsds,images,1
formats,images,2
cybernet,images,1
ccsds,formats,1
ccsds,cybernet,2
cybernet,formats,1
profiles,user,1
profile,profiles,1
level,profiles,1
profiles,rule,1
profile,user,1
level,user,2
rule,user,1
level,profile,1
profile,rule,1
bgk,solver,3
bgk,ns,1
bgk,dsmc,3
bgk,hypersonic,1
ns,solver,1
dsmc,solver,1
hypersonic,solver,2
dsmc,ns,1
hypersonic,ns,1
dsmc,hypersonic,1
bearings,diamond,3
bearings,coated,2
bearings,fullerenes,1
bearings,sand,1
coated,diamond,2
diamond,fullerenes,1
diamond,sand,1
coated,fullerenes,1
coated,sand,1
fullerenes,sand,1
damage,gui,1
gui,physics,1
assessment,gui,1
compute,gui,2
damage,physics,1
assessment,damage,1
compute,damage,1
assessment,physics,1
compute,physics,1
assessment,compute,1
euler,solver,2
aerodynamic,solver,2
cartesian,solver,2
desktop,solver,2
aerodynamic,euler,2
cartesian,euler,2
desktop,euler,2
aerodynamic,cartesian,2
aerodynamic,desktop,2
cartesian,desktop,2
cell,stacks,2
scale,stacks,1
membrane,stacks,1
building,stacks,1
cell,scale,1
cell,membrane,2
building,cell,1
membrane,scale,1
building,scale,1
building,membrane,1
ablative,tps,6
tps,zr,2
pre,tps,1
mg,tps,2
ablative,zr,1
ablative,pre,1
ablative,mg,1
pre,zr,1
mg,zr,2
mg,pre,1
fpga,range,1
depending,fpga,1
fpga,solver,1
fpga,video,1
depending,range,1
range,solver,1
range,video,1
depending,solver,1
depending,video,1
solver,video,1
cards,graphics,2
graphics,numerical,2
accelerating,graphics,2
gpus,graphics,2
cards,numerical,2
accelerating,cards,2
cards,gpus,2
accelerating,numerical,2
gpus,numerical,2
accelerating,gpus,2
entech,sla,2
auburn,sla,2
sla,solar,2
lenses,sla,1
auburn,entech,2
entech,solar,2
entech,lenses,1
auburn,solar,1
auburn,lenses,1
lenses,solar,1
acids,toc,1
simple,toc,1
followed,toc,1
reactor,toc,1
acids,simple,1
acids,followed,1
acids,reactor,1
followed,simple,1
reactor,simple,1
followed,reactor,1
capacity,heat,2
capacity,ray,2
capacity,energy,2
capacity,resolution,1
heat,ray,2
energy,heat,4
heat,resolution,1
energy,ray,2
ray,resolution,6
energy,resolution,3
iff,o2,1
efficiencies,iff,1
higher,iff,1
iff,passive,2
efficiencies,o2,1
higher,o2,1
o2,passive,1
efficiencies,higher,1
efficiencies,passive,1
higher,passive,1
reentry,tps,4
spectrographic,tps,1
ablation,tps,2
demonstrator,tps,1
reentry,spectrographic,1
ablation,reentry,1
demonstrator,reentry,1
ablation,spectrographic,1
demonstrator,spectrographic,1
ablation,demonstrator,1
flight,oz,3
display,oz,3
electronic,oz,1
oz,primary,1
display,flight,3
electronic,flight,2
flight,primary,2
display,electronic,2
display,primary,1
electronic,primary,1
integer,processors,1
computational,integer,1
integer,intensive,1
integer,math,1
computational,processors,1
intensive,processors,1
math,processors,1
computational,intensive,1
computational,math,1
intensive,math,1
gap,solar,2
gap,pv,2
bandgaps,gap,2
gap,sun,2
pv,solar,5
bandgaps,solar,2
solar,sun,3
bandgaps,pv,2
pv,sun,2
bandgaps,sun,2
apd,tdi,2
apd,arrays,5
32,apd,1
apd,delay,1
arrays,tdi,1
32,tdi,1
delay,tdi,1
32,arrays,2
arrays,delay,1
32,delay,1
265,insulation,1
insulation,sofi,1
265,sprayable,1
265,better,1
265,sofi,1
sofi,sprayable,1
better,sofi,1
1064nm,transmitter,1
1064nm,pulses,1
1064nm,portion,1
1064nm,fiber,1
pulses,transmitter,1
portion,transmitter,1
fiber,transmitter,2
portion,pulses,1
fiber,pulses,2
fiber,portion,1
optical,transmitter,2
required,transmitter,1
receiver,transmitter,2
far,transmitter,1
optical,required,1
optical,receiver,1
far,optical,1
receiver,required,1
far,required,1
far,receiver,1
titanium,tmc,2
creep,tmc,2
components,tmc,2
exhaust,tmc,2
creep,titanium,2
components,titanium,3
exhaust,titanium,2
components,creep,2
creep,exhaust,2
components,exhaust,2
fold,neighboring,1
fold,folding,1
fold,folded,1
fold,truss,1
folding,neighboring,1
folded,neighboring,1
neighboring,truss,1
folded,folding,3
folding,truss,1
folded,truss,1
fast,naturally,1
naturally,problems,1
naturally,workstations,1
gpus,naturally,1
fast,problems,1
fast,workstations,1
fast,gpus,1
problems,workstations,1
gpus,problems,1
gpus,workstations,1
flow,frequency,1
frequency,power,2
frequency,transonic,1
frequency,subsonic,1
flow,power,2
flow,transonic,1
flow,subsonic,1
power,transonic,1
power,subsonic,1
subsonic,transonic,1
telemetry,uav,1
centric,uav,1
networked,uav,1
uav,web,2
centric,telemetry,1
networked,telemetry,1
telemetry,web,1
centric,networked,1
centric,web,1
networked,web,1
hyperspectral,stabilization,2
pointing,stabilization,3
gimbal,stabilization,2
imaging,stabilization,2
hyperspectral,pointing,2
gimbal,hyperspectral,2
hyperspectral,imaging,11
gimbal,pointing,4
imaging,pointing,2
gimbal,imaging,2
criteria,hammer,1
criteria,validated,1
contributor,criteria,1
criteria,variable,1
hammer,validated,1
contributor,hammer,1
hammer,variable,1
contributor,validated,1
validated,variable,1
contributor,variable,1
cartesian,multigrid,1
cartesian,les,1
cartesian,combustor,1
cartesian,mesh,1
les,multigrid,1
combustor,multigrid,1
mesh,multigrid,2
combustor,les,2
les,mesh,1
combustor,mesh,1
crop,landsat,2
agricultural,crop,2
crop,imagery,2
crop,estimates,2
agricultural,landsat,2
imagery,landsat,2
estimates,landsat,2
agricultural,imagery,2
agricultural,estimates,2
estimates,imagery,2
battery,life,4
battery,remaining,1
battery,industrial,1
battery,georgia,1
life,remaining,3
industrial,life,1
georgia,life,1
industrial,remaining,1
georgia,remaining,1
georgia,industrial,1
software,techniques,1
software,validating,1
confidence,software,1
systems,techniques,1
systems,validating,1
confidence,systems,1
techniques,validating,2
confidence,techniques,2
confidence,validating,2
bipolar,plate,2
bipolar,unitized,3
bipolar,composite,2
bipolar,fuel,2
plate,unitized,2
composite,plate,2
fuel,plate,3
composite,unitized,4
fuel,unitized,2
composite,fuel,3
grade,medical,2
grade,water,2
grade,nanoporous,1
grade,membranes,1
medical,water,2
medical,nanoporous,1
medical,membranes,1
nanoporous,water,1
membranes,water,2
membranes,nanoporous,1
leds,light,3
leds,radiometers,2
leds,sources,2
leds,stabilization,1
light,radiometers,1
light,sources,1
light,stabilization,1
radiometers,sources,2
radiometers,stabilization,1
sources,stabilization,1
copvs,hei,1
copvs,usu,1
aluminum,copvs,1
